iter	RMSE
0	126.7497607
1	113.0223426
2	101.845149
3	92.55842542
4	84.68660094
5	77.52512592
6	72.37610177
7	66.94434258
8	62.1486886
9	58.8707868
10	55.70566657
11	52.98939613
12	50.48116564
13	48.53232881
14	46.90263544
15	45.82854257
16	44.67929322
17	43.80539588
18	42.67788987
19	42.00955067
20	40.85259021
21	39.81634476
22	39.24677182
23	38.87347583
24	37.94541932
25	37.63590324
26	37.32055579
27	36.94903003
28	36.46789112
29	36.15200342
30	35.7805734
31	35.37695627
32	34.74923327
33	34.59533826
34	34.16508855
35	33.89460457
36	33.65549804
37	33.4151536
38	33.08815596
39	32.91142375
40	32.63512176
41	32.51042047
42	32.37000477
43	32.2463041
44	32.10626956
45	31.92832618
46	31.75634503
47	31.59637328
48	31.42797712
49	31.32222603
50	31.22663707
51	31.12747364
52	31.0271802
53	30.93123694
54	30.82642766
55	30.72846268
56	30.58825114
57	30.48874206
58	30.42441695
59	30.29405255
60	30.19853539
61	30.08406601
62	29.95793866
63	29.87470559
64	29.80413532
65	29.69063425
66	29.5665962
67	29.47395758
68	29.38893092
69	29.29735575
70	29.20022718
71	29.13098587
72	29.05381524
73	28.96193234
74	28.8950601
75	28.81623842
76	28.73149379
77	28.58427715
78	28.4971133
79	28.42892045
80	28.36375797
81	28.27875183
82	28.21586021
83	28.12249958
84	28.01230671
85	27.92182284
86	27.85646797
87	27.77701963
