iter	Passed	Remaining
0	1	166
1	3	154
2	4	134
3	5	123
4	6	114
5	8	112
6	9	105
7	10	107
8	13	114
9	14	115
10	16	112
11	17	109
12	18	105
13	19	105
14	21	102
15	22	99
16	23	96
17	24	96
18	26	94
19	27	92
20	28	90
21	29	88
22	30	86
23	31	85
24	33	84
25	34	82
26	35	80
27	36	79
28	38	78
29	39	77
30	41	76
31	42	74
32	43	73
33	44	71
34	46	69
35	47	68
36	48	66
37	49	65
38	51	64
39	52	63
40	53	61
41	54	60
42	56	58
43	57	57
44	58	55
45	59	53
46	60	52
47	61	50
48	61	49
49	62	47
50	63	46
51	64	44
52	65	43
53	66	42
54	67	40
55	68	39
56	69	37
57	70	36
58	71	35
59	72	33
60	73	32
61	74	31
62	75	29
63	76	28
64	77	27
65	78	26
66	79	24
67	80	23
68	81	22
69	82	21
70	83	19
71	84	18
72	85	17
73	85	16
74	86	15
75	87	13
76	88	12
77	89	11
78	90	10
79	91	9
80	92	7
81	93	6
82	94	5
83	95	4
84	96	3
85	97	2
86	98	1
87	99	0
