iter	Passed	Remaining
0	3	333
1	10	430
2	12	349
3	16	338
4	17	295
5	20	276
6	22	262
7	25	250
8	29	258
9	31	245
10	34	243
11	36	230
12	37	218
13	40	211
14	42	205
15	43	197
16	45	190
17	47	183
18	48	177
19	52	179
20	56	181
21	61	185
22	64	181
23	67	180
24	69	175
25	71	169
26	73	165
27	74	159
28	75	154
29	77	149
30	79	146
31	81	143
32	84	140
33	86	136
34	87	132
35	88	127
36	90	124
37	92	121
38	94	118
39	95	114
40	96	110
41	98	107
42	99	104
43	100	100
44	101	97
45	102	93
46	104	90
47	105	87
48	106	84
49	107	81
50	108	78
51	109	76
52	111	73
53	112	70
54	113	67
55	114	65
56	115	62
57	117	60
58	119	58
59	120	56
60	121	53
61	123	51
62	124	49
63	126	47
64	127	45
65	128	42
66	129	40
67	130	38
68	131	36
69	133	34
70	134	32
71	135	30
72	136	28
73	137	26
74	138	24
75	140	22
76	141	20
77	142	18
78	144	16
79	145	14
80	148	12
81	149	10
82	151	9
83	152	7
84	154	5
85	155	3
86	157	1
87	158	0
